"","category","name","reviewer","reviews","veridied","date.of.review","ratings"
"11","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","Es comodaby confortable. Y te sientes relajada en ella","Verified Purchase","Reviewed in the United States on 10 June 2023","4.3 out of 5 stars"
"12","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","The chair was pretty easy to build, and it’s comfy! The seat part I feel like is a little short but other than that, awesome.","Verified Purchase","Reviewed in the United States on 6 September 2023","4.0 out of 5 stars"
"13","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Maverick","Wonderful, easy to put together instructions were great love the chair","Verified Purchase","Reviewed in the United States on 6 October 2023","4.0 out of 5 stars"
"14","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jolanda","Looks like the picture.  Comfortable, and still looks like how I purchased it 1 year ago","Verified Purchase","Reviewed in the United States on 27 February 2023","5.0 out of 5 stars"
"15","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Juliette","It’s a very good chair. Comfortable, sturdy enough, easy to assemble. It would be much better a higher back rest., but very nice in general.","Verified Purchase","Reviewed in Canada on 19 December 2022","5.0 out of 5 stars"
"16","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Noah Vera","When I first got the box I saw that there were some black stains and the seat but they were so tiny you couldn’t tell unless you look really close so I didn’t want to go through the work of returning and waiting for another. No big deal. But then there were some scratches on the wheels and base so it looked like it was used. Again, no big deal cause it wasn’t super obvious and I don’t have time to carry a huge heavy box return to the post office so I just kept putting it together. It was overall cute and I thought I got a pretty good deal for the price until I actually sat in it. The wheels don’t even move!! 🤦🏻‍♀️ I thought maybe it was one of those chairs that only move when you’re not on it so it stays in place while you’re sitting in it so I tried off of it too. Checked to make sure there were no locks or anything stopping the wheels but they wheels just did not move. At most there were two wheels that moved a little bit but couldn’t make the whole chair move since the other wheels wouldn’t budge. If the wheels moved I would’ve kept since i like the color combo and it was a good deal but if it doesn’t feel super comfy AND doesn’t move it’s just a waste of money at this point. Maybe I got a bad pair of wheels? Not sure, but pretty disappointed.","Verified Purchase","Reviewed in the United States on 19 August 2021","4.0 out of 5 stars"
"17","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amy :)","After chair was mounted/set up and looking as expected, unfortunately is too narrow. 😕I'm returning it.","Verified Purchase","Reviewed in the United States on 24 July 2023","4.0 out of 5 stars"
"18","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Elsa Ruiz","This chair was hard to assemble and the holes for the seat were not aligning no matter how much I tried .. so ended up with just 3 screws in (instead of 4) holding the bottom of chair.. the arm rests are also tricky to hold and screw. Chair feels firmly enough to sit so I will keep. Other than that the chair is nice (I got white).","Verified Purchase","Reviewed in the United States on 29 March 2023","2.0 out of 5 stars"
"19","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Joanna G","Love how sturdy this chair is. Works perfectly and fit into my new setup budget quite well","Verified Purchase","Reviewed in Canada on 8 December 2022","3.0 out of 5 stars"
"20","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jake","Easy to put together but was several pieces. Not as comfortable as I hoped","Verified Purchase","Reviewed in Canada on 24 March 2023","3.0 out of 5 stars"
"21","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","Es comodaby confortable. Y te sientes relajada en ella","Verified Purchase","Reviewed in the United States on 10 June 2023","4.3 out of 5 stars"
"22","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","The chair was pretty easy to build, and it’s comfy! The seat part I feel like is a little short but other than that, awesome.","Verified Purchase","Reviewed in the United States on 6 September 2023","4.0 out of 5 stars"
"23","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Maverick","Wonderful, easy to put together instructions were great love the chair","Verified Purchase","Reviewed in the United States on 6 October 2023","4.0 out of 5 stars"
"24","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jolanda","Looks like the picture.  Comfortable, and still looks like how I purchased it 1 year ago","Verified Purchase","Reviewed in the United States on 27 February 2023","5.0 out of 5 stars"
"25","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Juliette","It’s a very good chair. Comfortable, sturdy enough, easy to assemble. It would be much better a higher back rest., but very nice in general.","Verified Purchase","Reviewed in Canada on 19 December 2022","5.0 out of 5 stars"
"26","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Noah Vera","When I first got the box I saw that there were some black stains and the seat but they were so tiny you couldn’t tell unless you look really close so I didn’t want to go through the work of returning and waiting for another. No big deal. But then there were some scratches on the wheels and base so it looked like it was used. Again, no big deal cause it wasn’t super obvious and I don’t have time to carry a huge heavy box return to the post office so I just kept putting it together. It was overall cute and I thought I got a pretty good deal for the price until I actually sat in it. The wheels don’t even move!! 🤦🏻‍♀️ I thought maybe it was one of those chairs that only move when you’re not on it so it stays in place while you’re sitting in it so I tried off of it too. Checked to make sure there were no locks or anything stopping the wheels but they wheels just did not move. At most there were two wheels that moved a little bit but couldn’t make the whole chair move since the other wheels wouldn’t budge. If the wheels moved I would’ve kept since i like the color combo and it was a good deal but if it doesn’t feel super comfy AND doesn’t move it’s just a waste of money at this point. Maybe I got a bad pair of wheels? Not sure, but pretty disappointed.","Verified Purchase","Reviewed in the United States on 19 August 2021","4.0 out of 5 stars"
"27","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amy :)","After chair was mounted/set up and looking as expected, unfortunately is too narrow. 😕I'm returning it.","Verified Purchase","Reviewed in the United States on 24 July 2023","4.0 out of 5 stars"
"28","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Elsa Ruiz","This chair was hard to assemble and the holes for the seat were not aligning no matter how much I tried .. so ended up with just 3 screws in (instead of 4) holding the bottom of chair.. the arm rests are also tricky to hold and screw. Chair feels firmly enough to sit so I will keep. Other than that the chair is nice (I got white).","Verified Purchase","Reviewed in the United States on 29 March 2023","2.0 out of 5 stars"
"29","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Joanna G","Love how sturdy this chair is. Works perfectly and fit into my new setup budget quite well","Verified Purchase","Reviewed in Canada on 8 December 2022","3.0 out of 5 stars"
"30","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jake","Easy to put together but was several pieces. Not as comfortable as I hoped","Verified Purchase","Reviewed in Canada on 24 March 2023","3.0 out of 5 stars"
"31","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","Es comodaby confortable. Y te sientes relajada en ella","Verified Purchase","Reviewed in the United States on 10 June 2023","4.3 out of 5 stars"
"32","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","The chair was pretty easy to build, and it’s comfy! The seat part I feel like is a little short but other than that, awesome.","Verified Purchase","Reviewed in the United States on 6 September 2023","4.0 out of 5 stars"
"33","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Maverick","Wonderful, easy to put together instructions were great love the chair","Verified Purchase","Reviewed in the United States on 6 October 2023","4.0 out of 5 stars"
"34","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jolanda","Looks like the picture.  Comfortable, and still looks like how I purchased it 1 year ago","Verified Purchase","Reviewed in the United States on 27 February 2023","5.0 out of 5 stars"
"35","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Juliette","It’s a very good chair. Comfortable, sturdy enough, easy to assemble. It would be much better a higher back rest., but very nice in general.","Verified Purchase","Reviewed in Canada on 19 December 2022","5.0 out of 5 stars"
"36","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Noah Vera","When I first got the box I saw that there were some black stains and the seat but they were so tiny you couldn’t tell unless you look really close so I didn’t want to go through the work of returning and waiting for another. No big deal. But then there were some scratches on the wheels and base so it looked like it was used. Again, no big deal cause it wasn’t super obvious and I don’t have time to carry a huge heavy box return to the post office so I just kept putting it together. It was overall cute and I thought I got a pretty good deal for the price until I actually sat in it. The wheels don’t even move!! 🤦🏻‍♀️ I thought maybe it was one of those chairs that only move when you’re not on it so it stays in place while you’re sitting in it so I tried off of it too. Checked to make sure there were no locks or anything stopping the wheels but they wheels just did not move. At most there were two wheels that moved a little bit but couldn’t make the whole chair move since the other wheels wouldn’t budge. If the wheels moved I would’ve kept since i like the color combo and it was a good deal but if it doesn’t feel super comfy AND doesn’t move it’s just a waste of money at this point. Maybe I got a bad pair of wheels? Not sure, but pretty disappointed.","Verified Purchase","Reviewed in the United States on 19 August 2021","4.0 out of 5 stars"
"37","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amy :)","After chair was mounted/set up and looking as expected, unfortunately is too narrow. 😕I'm returning it.","Verified Purchase","Reviewed in the United States on 24 July 2023","4.0 out of 5 stars"
"38","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Elsa Ruiz","This chair was hard to assemble and the holes for the seat were not aligning no matter how much I tried .. so ended up with just 3 screws in (instead of 4) holding the bottom of chair.. the arm rests are also tricky to hold and screw. Chair feels firmly enough to sit so I will keep. Other than that the chair is nice (I got white).","Verified Purchase","Reviewed in the United States on 29 March 2023","2.0 out of 5 stars"
"39","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Joanna G","Love how sturdy this chair is. Works perfectly and fit into my new setup budget quite well","Verified Purchase","Reviewed in Canada on 8 December 2022","3.0 out of 5 stars"
"40","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jake","Easy to put together but was several pieces. Not as comfortable as I hoped","Verified Purchase","Reviewed in Canada on 24 March 2023","3.0 out of 5 stars"
"41","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","Es comodaby confortable. Y te sientes relajada en ella","Verified Purchase","Reviewed in the United States on 10 June 2023","4.3 out of 5 stars"
"42","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","CLARYLUXK LLC","The chair was pretty easy to build, and it’s comfy! The seat part I feel like is a little short but other than that, awesome.","Verified Purchase","Reviewed in the United States on 6 September 2023","4.0 out of 5 stars"
"43","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Maverick","Wonderful, easy to put together instructions were great love the chair","Verified Purchase","Reviewed in the United States on 6 October 2023","4.0 out of 5 stars"
"44","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jolanda","Looks like the picture.  Comfortable, and still looks like how I purchased it 1 year ago","Verified Purchase","Reviewed in the United States on 27 February 2023","5.0 out of 5 stars"
"45","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Juliette","It’s a very good chair. Comfortable, sturdy enough, easy to assemble. It would be much better a higher back rest., but very nice in general.","Verified Purchase","Reviewed in Canada on 19 December 2022","5.0 out of 5 stars"
"46","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Noah Vera","When I first got the box I saw that there were some black stains and the seat but they were so tiny you couldn’t tell unless you look really close so I didn’t want to go through the work of returning and waiting for another. No big deal. But then there were some scratches on the wheels and base so it looked like it was used. Again, no big deal cause it wasn’t super obvious and I don’t have time to carry a huge heavy box return to the post office so I just kept putting it together. It was overall cute and I thought I got a pretty good deal for the price until I actually sat in it. The wheels don’t even move!! 🤦🏻‍♀️ I thought maybe it was one of those chairs that only move when you’re not on it so it stays in place while you’re sitting in it so I tried off of it too. Checked to make sure there were no locks or anything stopping the wheels but they wheels just did not move. At most there were two wheels that moved a little bit but couldn’t make the whole chair move since the other wheels wouldn’t budge. If the wheels moved I would’ve kept since i like the color combo and it was a good deal but if it doesn’t feel super comfy AND doesn’t move it’s just a waste of money at this point. Maybe I got a bad pair of wheels? Not sure, but pretty disappointed.","Verified Purchase","Reviewed in the United States on 19 August 2021","4.0 out of 5 stars"
"47","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amy :)","After chair was mounted/set up and looking as expected, unfortunately is too narrow. 😕I'm returning it.","Verified Purchase","Reviewed in the United States on 24 July 2023","4.0 out of 5 stars"
"48","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Elsa Ruiz","This chair was hard to assemble and the holes for the seat were not aligning no matter how much I tried .. so ended up with just 3 screws in (instead of 4) holding the bottom of chair.. the arm rests are also tricky to hold and screw. Chair feels firmly enough to sit so I will keep. Other than that the chair is nice (I got white).","Verified Purchase","Reviewed in the United States on 29 March 2023","2.0 out of 5 stars"
"49","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Joanna G","Love how sturdy this chair is. Works perfectly and fit into my new setup budget quite well","Verified Purchase","Reviewed in Canada on 8 December 2022","3.0 out of 5 stars"
"50","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jake","Easy to put together but was several pieces. Not as comfortable as I hoped","Verified Purchase","Reviewed in Canada on 24 March 2023","3.0 out of 5 stars"
"51","chair","FDW OC-BT380-Black Office Executive Chair, Black, Ergonomic Design, Adjustable Arm, Rolling Swivel, Lumbar Support, Wide Seat, Load Capacity: 391.7 lbs (181 kg), High Back Mesh, 29.1 x 25.6 x 43.5 inches (74 x 65 x 110.5 cm)","Rick Love","If you are a human, your primary purpose is to be excellent at human relationships.If you are a chair, your primary purpose is to be excellent at supporting a human's butt - while keeping said butt and attached organic material free from pain.This chair is the best chair in almost every way: It is taller than other chairs, bigger than other chairs, stronger than other chairs, it's armrest is superior to other armrests.This chair is terrible at only one use case: Sitting.Immediately when I, a large human, sat on this chair. My butt and specifically my tail bone said, ""Pressure overload, spinal injury will likely occur in 30 minutes!""I used my hand sensors to inspect the chair material and discovered it was quite lumpy. It appeared to have springs inside the chair creating an uneven distribution of pressure.I looked at my old chair and noticed that it had a low spot in the same area where this new chair was creating the most pressure.I can only conclude that the engineers who made this chair either have never sat in a chair or have no large humans nearby to test said chair and communicate that the chair is not useful for sitting purposes.Now I, as a busy human, decided to try said chair for a few days. As the days progressed, my body posture contorted to multiple sitting positions to avoid the pressure without much success. My tail bone did indeed begin to express pain.My brain concluded: ""Sitting in such a chair for many hours a day would certainly lead to long term damage.""Not wanting to spend additional money on another chair. I jotted a note in my brain storage for future reference: In the future, perhaps buying a chair, butt-untested, is not a great idea. Next time I will have to visit a physical-presence-selling-place-that-allows-butt-testing.Then I began my journey towards chair refactoring:After taking off the chair-back with the four support bolts - using the hex tool which came with the chair. I needed to acquire my trusted utility tool.This tool is my long-time companion which I always carry on my belt when I am wearing pants. Of course being in my home-environment without pants, I had to first travel to my clothing-storage-area to obtain my utility tool from the last-worn-pants.After removing some of the staples on the back edge of the chair, I had enough room to begin inspecting the interior of the chair's butt-support structure. I quickly found the offense:Someone had decided to place the box-springs from a small doll's bed inside the middle of my chair.I disagreed with that decision.After removing a few more staples from the cover material, I removed the box-springs entirely from the chair.At first, I thought I would modify them, but after seeing the result shape of the chair now resembled my old chair. I decided it was time for a butt-test.I was pleasantly surprised. The pressure distribution was now even and almost perfect - matching ideal butt-support specifications.tl;dr: - 5 stars after chair surgery (1 star before)","Verified Purchase","Reviewed in the United States on 5 August 2022","4.1 out of 5 stars"
"52","chair","FDW OC-BT380-Black Office Executive Chair, Black, Ergonomic Design, Adjustable Arm, Rolling Swivel, Lumbar Support, Wide Seat, Load Capacity: 391.7 lbs (181 kg), High Back Mesh, 29.1 x 25.6 x 43.5 inches (74 x 65 x 110.5 cm)","Matt","I impulse bought this chair after my old one of 3+ years broke. It was cheap, had a high weight limit, looked strong. It is strong, very strong. It feels like it will last, it tilts back well, it feels sturdy - even the plastic arms feel sturdy. But the seat. The place your butt goes - it's awful. Within a day (I work from home, I sit a lot) my ass was hurting. I read some other reviews and I agree, there are springs or hard things in the center that are pushing up, but the pressure is killing me. I've been sitting on a pillow for 2 days, and I just ordered a memory foam seat to put on top of it - didn't help fully. My ass is sore as we speak. Unsure what to do with this, but already shopping for a new chair.","Verified Purchase","Reviewed in Canada on 22 February 2023","3.0 out of 5 stars"
